<<DATA:1142,827,0,35,1,NNE,28.02,100462.33,72.12,0.05,0.22,0.94,-6.37,106.80,95.80,-81>>
<<DATA:1142,832,7,36,1,NNE,28.00,100462.30,72.08,0.04,0.17,0.88,-6.37,106.80,95.80,-81>>
<<DATA:1147,835,-2,36,1,NNE,28.00,100462.81,72.03,0.04,0.16,0.87,-6.37,106.80,94.80,-82>>
<<DATA:1136,832,-17,36,1,NNE,28.00,100463.66,71.96,0.04,0.16,0.88,-6.37,106.80,94.80,-82>>
<<DATA:1131,837,-12,36,1,NNE,28.00,100463.66,72.05,0.04,0.16,0.88,-6.37,106.80,94.80,-82>>
<<DATA:1147,832,-10,35,1,NNE,27.99,100461.89,72.11,0.05,0.22,0.93,-6.37,106.80,94.80,-82>>
<<DATA:1140,825,-20,35,1,NNE,27.98,100463.24,72.00,0.04,0.17,0.88,-6.37,106.80,94.80,-82>>
<<DATA:1136,827,2,36,1,NNE,27.98,100463.93,71.94,0.03,0.16,0.88,-6.37,106.80,94.80,-81>>
<<DATA:1133,813,-5,35,1,NNE,27.98,100463.91,71.94,0.04,0.17,0.88,-6.37,106.80,94.90,-82>>
<<DATA:1152,827,5,35,1,NNE,27.98,100464.93,71.86,0.03,0.16,0.88,-6.37,106.80,94.90,-81>>
<<DATA:1142,827,-7,35,1,NNE,27.98,100464.93,71.86,0.03,0.16,0.87,-6.37,106.80,94.90,-82>>
<<DATA:1145,830,-7,35,1,NNE,27.97,100463.86,71.94,0.03,0.17,0.88,-6.37,106.80,94.90,-81>>
<<DATA:1126,830,-7,36,1,NNE,27.97,100462.23,72.11,0.04,0.19,0.90,-6.37,106.80,94.90,-82>>
<<DATA:1142,830,5,36,1,NNE,27.97,100461.51,72.14,0.04,0.16,0.88,-6.37,106.80,94.90,-81>>
<<DATA:1140,821,0,35,1,NNE,27.96,100461.51,72.11,0.06,0.22,0.93,-6.37,106.80,94.90,-81>>
<<DATA:1145,837,-12,36,1,NNE,27.97,100461.83,72.12,0.03,0.16,0.87,-6.37,106.80,94.90,-82>>
<<DATA:1145,830,10,35,1,NNE,27.96,100462.36,72.07,0.03,0.15,0.88,-6.37,106.80,94.90,-81>>
<<DATA:1147,832,5,35,1,NNE,27.96,100462.88,72.12,0.04,0.16,0.87,-6.37,106.80,95.50,-81>>
<<DATA:1142,840,0,36,1,NNE,27.95,100462.33,72.07,0.03,0.16,0.88,-6.37,106.80,95.50,-80>>
<<DATA:1131,842,5,36,1,NNE,27.95,100462.81,72.03,0.04,0.16,0.88,-6.37,106.80,95.50,-80>>
<<DATA:1140,840,12,36,1,NNE,27.95,100463.67,71.96,0.03,0.17,0.88,-6.37,106.80,95.40,-81>>
<<DATA:1142,842,15,36,1,NNE,27.95,100464.16,71.92,0.04,0.16,0.88,-6.37,106.80,95.40,-82>>
<<DATA:1145,842,0,36,1,NNE,27.94,100464.80,71.87,0.04,0.16,0.88,-6.37,106.80,95.40,-81>>
<<DATA:1152,825,0,35,1,NNE,27.94,100465.12,71.84,0.03,0.17,0.89,-6.37,106.80,95.40,-81>>
<<DATA:1147,837,-5,36,1,NNE,27.94,100465.44,71.81,0.04,0.18,0.89,-6.37,106.80,95.40,-81>>
<<DATA:1140,830,10,36,1,NNE,27.93,100465.75,71.79,0.04,0.17,0.88,-6.37,106.80,95.40,-81>>
<<DATA:1140,832,22,36,1,NNE,27.93,100466.25,72.20,0.04,0.16,0.88,-6.37,106.80,95.40,-82>>
<<DATA:1145,827,-2,35,1,NNE,27.89,100460.84,72.20,0.03,0.16,0.88,-6.37,106.80,95.90,-81>>
<<DATA:1142,818,-7,35,1,NNE,27.89,100461.35,72.25,0.03,0.17,0.88,-6.37,106.80,95.90,-81>>
<<DATA:1145,845,7,36,1,NNE,27.89,100461.48,72.14,0.03,0.17,0.89,-6.37,106.80,95.90,-81>>
<<DATA:1152,830,-2,35,1,NNE,27.89,100462.66,72.05,0.04,0.16,0.88,-6.37,106.80,95.90,-81>>
<<DATA:1145,847,7,36,1,NNE,27.89,100463.50,71.98,0.03,0.16,0.28,-6.37,106.⸮0,9f.23⸮>-81>>
<<DATA:1150,830,2,35,1,NNE,27.89,100464.53,71.89,0.04,0.16,0.88,-6.37,106.80,96.20,-81>>
<<DATA:1145,827,7,35,1,NNE,27.89,100465.39,71.82,0.03,0.16,0.88,-6.37,106.80,96.20,-80>>
<<DATA:1147,835,-2,36,1,NNE,27.89,100466.24,71.75,0.04,0.17,0.88,-6.37,106.80,96.20,-82>>
<<DATA:1140,837,-12,36,1,NNE,27.88,100466.39,71.73,0.03,0.17,0.89,-6.37,106.80,96.20,-82>>
<<DATA:1142,818,0,35,1,NNE,27.88,100467.08,71.67,0.04,0.17,0.89,-6.37,106.80,96.20,-81>>
<<DATA:1140,845,-15,36,1,NNE,27.86,100462.95,72.02,0.03,0.17,0.88,-6.37,106.80,96.20,-82>>
<<DATA:1142,832,-5,36,1,NNE,27.86,100463.99,71.93,0.04,0.16,0.88,-6.37,106.80,96.20,-81>>
<<DATA:1147,830,-7,35,1,NNE,27.86,100464.50,71.89,0.03,0.16,0.88,-6.37,106.80,96.20,-81>>
<<DATA:1155,852,10,36,1,NNE,27.86,100465.02,71.85,0.03,0.16,0.88,-6.37,106.80,96.20,-81>>
<<DATA:1131,837,-5,36,1,NNE,27.86,100465.88,71.77,0.04,0.16,0.88,-6.37,106.80,96.20,-81>>
<<DATA:1133,840,20,36,1,NNE,27.86,100466.20,71.75,0.03,0.16,0.88,-6.37,106.80,96.20,-81>>
<<DATA:1145,837⸮-2,36,1,NNE,27.85,1 04f7.05,71.68)0&07l01?<P⸮8⸮%6-37186O80⸮>.Q06>-81>>
<<DATA:1136,845,12,36,1,NNE,27.86,100467.39,71.65,0.04,0.16,0.88,-6.37,106.80,96.20,-82>>
<<DATA:1131,825,-2,36,1,NNE,27.86,100467.70,71.62,0.03,0.17,0.88,-6.37,106.80,96.20,-82>>
<<DATA:1150,835,5,35,1,NNE,27.85,100463.64,72.07,0.04,0.16,0.87,-6.37,106.80,96.40,-81>>
<<DATA:1155,821,0,35,1,NNE,27.79,100460.66,72.21,0.03,0.17,0.89,-6.37,106.80,96.40,-81>>
<<DATA:1131,842,-2,36,1,NNE,27.79,100462.05,72.10,0.03,0.16,0.88,-6.37,106.80,96.40,-82>>
<<DATA:1147,837,-2,36,1,NNE,27.79,100462.93,72.40,0.03,0.16,0.86,-6.37,106.80,96.40,-81>>
<<DATA:1128,816,-2,35,1,NNE,27.77,100459.68,72.30,0.04,0.16,0.89,-6.37,106.80,96.00,-82>>
<<DATA:1123,825,2,36,1,NNE,27.78,100461.23,72.17,0.04,0.18,0.88,-6.37,106.80,95.40,-81>>
<<DATA:1145,827,-10,35,1,NNE,27.78,100462.28,72.08,0.03,0.17,0.89,-6.37,106.80,95.40,-82>>
<<DATA:1142,835,-7,36,1,NNE,27.78,100460.15,72.26,0.04,0.16,0.87,-6.37,106.80,95.40,-82>>
<<DATA:1136,835,10,36,1,NNE,27.77,100461.22,72.17,0.04,0.16,0.89,-6.37,106.80,95.40,-81>>
<<DATA:1147,835,-7,36,1,NNE,27.78,100462.60,72.05,0.04,0.16,0.89,-6.37,106.80,95.40,-81>>
<<DATA:1131,821,0,35,1,NNE,27.78,100463.84,71.95,0.04,0.16,0.88,-6.37,106.80,95.40,-80>>
<<DATA:1133,837,-2,36,1,NNE,27.78,100464.55,71.89,0.04,0.17,0.88,-6.37,106.80,95.40,-81>>
<<DATA:1147,842,-5,36,1,NNE,27.79,100465.08,71.84,0.04,0.16,0.87,-6.37,106.80,95.40,-82>>
<<DATA:1142,825,-15,35,1,NNE,27.79,100462.77,72.04,0.04,0.17,0.88,-6.37,106.80,95.40,-82>>
<<DATA:1145,832,15,36,1,NNE,27.78,100463.67,71.96,0.03,0.16,0.89,-6.37,106.80,95.40,-82>>
<<DATA:1152,832,0,35,1,NNE,27.78,100464.38,71.96,0.04,0.21,0.92,-6.37,106.80,95.80,-83>>
<<DATA:1118,830,-10,36,1,NNE,27.81,100468.48,71.56,0.04,0.17,0.89,-6.37,106.80,95.70,-80>>
<<DATA:1142,827,-15,35,1,NNE,27.81,100468.48,71.56,0.03,0.16,0.89,-6.37,106.80,95.70,-82>>
<<DATA:1145,845,0,36,1,NNE,27.81,100468.84,71.53,0.04,0.17,0.88,-6.37,106.80,95.70,-81>>
<<DATA:1123,830,-7,36,1,NNE,27.81,100468.67,71.54,0.03,0.17,0.88,-6.37,106.80,94.80,-81>>
<<DATA:1131,818,-2,35,1,NNE,27.81,100468.67,71.54,0.04,0.18,0.89,-6.37,106.80,94.70,-84>>
<<DATA:1128,842,0,36,1,NNE,27.82,100469.79,71.45,0.02,0.17,0.87,-6.37,106.80,94.70,-84>>
<<DATA:1150,832,-12,35,1,NNE,27.82,100470.16,71.42,0.04,0.17,0.88,-6.37,106.80,94.70,-84>>
<<DATA:1136,835,-2,36,1,NNE,27.82,100470.16,71.42,0.03,0.18,0.89,-6.37,106.80,94.70,-84>>
